Kode Mata Kuliah;Mata Kuliah;SKS;Semester;Informasi Mata Kuliah;Topik Mata Kuliah;Software
1708030206;Kalkulus I;2;Ganjil;Studi mengenai matematika dasar pada komputasi.;"Limit, Integral dimensi 1, Persamaan non linier.";-
1708030209;Fisika Dasar;2;Ganjil;Studi tentang dasar – dasar fisika pada komputasi.;"Rangkaian paralel dan seri, looping, dasar biner.";-
1708030217;Praktikum Fisika Dasar;1;Ganjil;Studi tentang dasar – dasar fisika pada komputasi.;"Rangkaian paralel dan seri, looping, dasar biner.";-
1700000101;Pendidikan Kewarnegaraan;2;Ganjil;Sebuah ilmu atau studi mengenai tugas dan kewajiban pemerintahan serta hak dan kewajiban seorang warga negara.;"Hak dan kewajiban warga negaranya, jati diri atau identitas bangsa dan negara, konstitusi negara.";-
1708030201;Algoritma dan Pemrograman I;2;Ganjil;Studi tentang dasar pada pemrograman dan logika pemrograman.;"Dasar Logika Pemrograman, Bahasa Pemrograman C++";
1708030215;Praktikum Algoritma dan Pemrograman I;1;Ganjil;Studi tentang dasar pada pemrograman dan logika pemrograman.;"Dasar Logika Pemrograman, Bahasa Pemrograman C++";"Dev  C++, Turbo C++"
1708030214;Pengantar Teknologi Komunikasi dan Informatika;2;Ganjil;Studi mengenai pengantar teknologi sebagai dasar – dasar teknologi.;"Dasar software dan hardware, implementasi dalam kehidupan sehari – hari.";-
1700000102;Bahasa Indonesia;2;Ganjil;Studi mengenai ilmu bahasa yang dimana dapat mendorong mahasiswa menggunakan bahasa yang sesuai dengan kaidah dan norma yang berlaku.;"Sejarah bahasa indonesia, komunikasi lisan dan kalimat induktif.";-
1708030203;Aljabar Linier;2;Ganjil;Studi tentang pemahaman lanjut pada matematika komputasi.;"Matriks, Persamaan linier.";-
1708020101;Bahasa Inggris Informatika;2;Ganjil;Studi tentang ilmu bahasa inggris pada konteks keilmuan informatika.;"Tenses, dasar bahasa informatika, studi kasus dalam teknologi.";-
1708030207;Kalkulus II;2;Genap;Studi tentang pemahaman lanjut pada matematika komputasi.;"Persamaan linier, integral 2 & 3 dimensi, Matematika turunun.";-
1708030202;Algoritma dan Pemrograman II;2;Genap;Studi tentang pemahaman lanjut pada pemrograman dan logika pemrograman.;"Bahasa pemrograman C#, Dasar pemrograman orientasi objek.";
1708030216;Praktikum Algoritma dan Pemrograman II;1;Genap;Studi tentang pemahaman lanjut pada pemrograman dan logika pemrograman.;"Bahasa pemrograman C#, Dasar pemrograman orientasi objek.";Microsoft Visual Studio
1708030220;Statistika dan Probabilitas;2;Genap;Studi mengenai ilmu statistika dan dasar perhitungan pada penerapan teknologi.;"Mean, median, modus.";-
1708030211;Matematika Diskrit;2;Genap;Studi mengenai dasar – dasar matematika teknologi.;"Aritmatika, Peluang, Himpunan.";-
1708030221;Struktur Data dan Algoritma;2;Genap;Studi tentang analisa struktur pemrograman dan dasar algoritma pada pemrograman.;"Dasar algoritma, stack and queue.";-
1708030219;Praktikum Struktur Data dan Algoritma;1;Genap;Studi tentang analisa struktur pemrograman dan dasar algoritma pada pemrograman.;"Dasar algoritma, stack and queue.";-
1708030213;Sistem Digital;2;Genap;Studi tentang pemahaman lanjut dalam ilmu fisika dasar yang berbasis digital.;Konversi bahasa mesin.;-
1708030218;Praktikum Sistem Digital;1;Genap;Studi tentang pemahaman lanjut dalam ilmu fisika dasar yang berbasis digital.;Konversi bahasa mesin.;-
1708020346;Pemrograman Visual;2;Genap;Studi tentang pemahaman lanjut pada pemrograman dan logika pemrograman secara visual.;"Pengenalan pemrograman visual .net 2010, logika pemrograman berbasis visual.";-
1708020347;Praktikum Pemrograman Visual;1;Genap;Studi tentang pemahaman lanjut pada pemrograman dan logika pemrograman secara visual.;"Pengenalan pemrograman visual .net 2010, logika pemrograman berbasis visual.";Microsoft Visual Studio
1708030502;Komputer dan Masyarakat;3;Genap;Studi mengenai sosialisasi dalam bemasyarakat dilingkungan sekitar melalui jaringan teknologi.;"Isu - isu sosial dalam pandangan terkini, Ruang lingkup masyarakat teknologi.";-
1700000103;Pendidikan Agama;2;Ganjil;Studi mengenai ilmu kerohanian dimana dapat membangun keimanan dan ketaqwaan kepada Tuhan Yang Maha Esa.;"Pengantar rukun iman dan islam, pengabdian masyarakat.";-
1708030210;Logika Informatika;2;Ganjil;Studi tentang perhitungan dan pemahaman argumentasi pada pemrograman.;Logika or dan and pada pemrograman dan matematka informatika.;-
1708030309;Arsitektur dan Organisasi Komputer;3;Ganjil;Studi tentang pendalaman arsitektur dan pembangunan pada suatu perangkat komputer.;"Sejarah perkembangan komputer, arsitektur pada komputer.";-
1708030327;Basis Data;4;Ganjil;Studi mengenai susunan / kumpulan data operasional lengkap dari suatu organisasi dan disimpan secara terintegrasi yang mampu menyediakan informasi secara optimal.;"Data manipulation (DML), Data Definition (DDL), Data Control (DCL)";-
