Kode Mata Kuliah;Mata Kuliah;SKS;Semester;Informasi Mata Kuliah;Topik Mata Kuliah;Software
1700000101;Pendidikan Kewarganegaraan;2;Ganjil;Sebuah ilmu atau studi mengenai tugas dan kewajiban pemerintahan serta hak dan kewajiban seorang warga negara.;"Hak dan kewajiban warga negaranya, jati diri atau identitas bangsa dan negara, konstitusi negara.";-
1700000102;Bahasa Indonesia;2;Ganjil;Studi mengenai ilmu bahasa yang dimana dapat mendorong mahasiswa menggunakan bahasa yang sesuai dengan kaidah dan norma yang berlaku.;"Sejarah bahasa indonesia, komunikasi lisan dan kalimat induktif.";-
1708020303;Agama;2;Ganjil;Studi mengenai ilmu kerohanian dimana dapat membangun keimanan dan ketaqwaan kepada Tuhan Yang Maha Esa.;"Pengantar rukun iman dan islam, pengabdian masyarakat.";-
1703023402;TOEFL Preparation;2;Ganjil;Studi tentang ilmu bahasa inggris dan persiapan pada tes TOEFL.;"Spelling, TOEFL Topic, Reading,  English Conversation.";-
1708030203;Matematika Diskrit;2;Ganjil;Studi mengenai dasar – dasar matematika teknologi.;"Himpunan, relasi, fungsi dan proposisi, poset, lattice, dan aljabar boolean.";-
1708020203;Dasar-Dasar Pemrograman I;2;Ganjil;Studi tentang dasar pada pemrograman dan logika pemrograman.;"Dasar Logika Pemrograman, Bahasa Pemrograman C++";-
1708020204;Praktikum Dasar - Dasar Pemrograman I;1;Ganjil;Studi tentang dasar pada pemrograman dan logika pemrograman.;"Dasar Logika Pemrograman, Bahasa Pemrograman C++";"Dev C++, Netbeans, Turbo C++ 4.5, Microsoft Visual Studio"
1708030214;Pengantar Teknologi Sistem Informasi;2;Ganjil;Studi mengenai pengantar teknologi sebagai dasar – dasar teknologi.;"Dasar software dan hardware, implementasi dalam kehidupan sehari – hari.";-
1708020303;Analisa Proses Bisnis;3;Ganjil;Studi mengenai struktur dan pendalaman pada proses bisnis.;"Proses bisnis, visualisasi data.";-
1708020301;Sistem Aplikasi Akuntansi;2;Genap;Studi tentang teori dan penggunaan perangkat lunak (Software) pada akuntansi.;Teori akuntansi dan aplikasi akuntansi.;-
1708020302;Praktikum Sistem Aplikasi Akuntansi;1;Genap;Studi tentang teori dan penggunaan perangkat lunak (Software) pada akuntansi.;Dasar – dasar penggunaan aplikasi akuntansi.;Myob
1708030220;Statistika dan Probabilitas;2;Genap;Studi mengenai ilmu statistika dan dasar perhitungan pada penerapan teknologi.;"Mean, median, modus";-
1708020201;Manajemen Umum;2;Genap;Studi tentang ilmu manajamen yang penerapannya pada organisasi.;Dasar dan teori manajemen.;-
1708020207;Struktur Data dan Algoritma;4;Genap;Studi tentang analisa struktur pemrograman dan dasar algoritma pada pemrograman.;"Dasar algoritma, stack and queue.";"Dev C++, Turbo C++ 4.5, Microsoft Visual Studio"
1708020208;Dasar-Dasar Pemrograman II;2;Genap;Studi tentang pemahaman lanjut pada pemrograman dan logika pemrograman.;"Bahasa pemrograman C#, Dasar pemrograman orientasi objek.";-
1708020209;Praktikum Dasar-dasar Pemrograman II;1;Genap;Studi tentang pemahaman lanjut pada pemrograman dan logika pemrograman;"Bahasa pemrograman C#, Dasar pemrograman orientasi objek.";Microsoft Visual Studio
